time,percentage,adc,dry_value,wet_value
2024-08-15T20:00:28.084643,97.78,6502,16700,6270
2024-08-15T21:00:27.188650,98.22,6456,16700,6270
2024-08-15T22:00:27.732602,98.72,6403,16700,6270
2024-08-15T23:00:27.380593,99.15,6359,16700,6270
2024-08-16T00:00:38.196647,99.19,6355,16700,6270
2024-08-16T01:00:52.116599,98.95,6379,16700,6270
2024-08-16T02:00:52.116588,99.13,6361,16700,6270
2024-08-16T03:00:52.116596,99.25,6348,16700,6270
2024-08-16T04:00:52.116621,99.18,6356,16700,6270
2024-08-16T05:00:52.116592,98.95,6379,16700,6270
2024-08-16T06:00:52.120575,99.53,6319,16700,6270
2024-08-16T07:00:52.116614,99.99,6271,16700,6270
2024-08-16T08:00:52.116581,100.0,6263,16700,6270
2024-08-16T09:00:52.116608,99.77,6294,16700,6270
2024-08-16T10:00:52.116584,99.28,6345,16700,6270
2024-08-16T11:00:52.116627,99.23,6350,16700,6270
2024-08-16T12:00:52.116591,98.84,6391,16700,6270
2024-08-16T13:00:27.444620,98.31,6446,16700,6270
2024-08-16T14:00:27.284641,97.72,6508,16700,6270
2024-08-16T15:00:26.264631,98.13,6465,16700,6270
2024-08-16T16:00:26.552616,97.79,6501,16700,6270
2024-08-16T17:00:26.836568,97.18,6564,16700,6270
2024-08-16T18:00:27.540650,97.18,6564,16700,6270
2024-08-16T19:00:27.156597,97.68,6512,16700,6270
2024-08-16T20:00:27.092592,97.88,6491,16700,6270
2024-08-16T21:00:26.932606,98.3,6447,16700,6270
2024-08-16T22:00:26.580665,98.77,6398,16700,6270
2024-08-16T23:00:26.516575,98.56,6420,16700,6270
2024-08-17T00:00:37.408377,98.69,6407,16700,6270
2024-08-17T01:00:52.116628,99.19,6354,16700,6270
2024-08-17T02:00:52.116617,99.08,6366,16700,6270
2024-08-17T03:00:52.116599,99.72,6299,16700,6270
2024-08-17T04:00:52.116577,100.0,6253,16700,6270
2024-08-17T05:00:52.116607,100.0,6247,16700,6270
2024-08-17T06:00:52.116577,100.0,6204,16700,6270
2024-08-17T07:00:52.116586,100.0,6234,16700,6270
2024-08-17T08:00:52.116581,99.99,6271,16700,6270
2024-08-17T09:00:52.116655,99.43,6329,16700,6270
2024-08-17T10:00:52.116650,98.58,6418,16700,6270
2024-08-17T11:00:52.116628,96.91,6592,16700,6270
2024-08-17T12:00:52.116603,95.5,6739,16700,6270
2024-08-17T13:00:52.116618,94.58,6835,16700,6270
2024-08-17T14:00:52.116636,94.07,6888,16700,6270
2024-08-17T15:00:52.116615,93.11,6989,16700,6270
2024-08-17T16:00:52.116382,92.61,7041,16700,6270
2024-08-17T17:00:52.120621,92.85,7016,16700,6270
2024-08-17T18:00:52.116632,93.43,6955,16700,6270
2024-08-17T19:00:52.116600,94.41,6853,16700,6270
2024-08-17T20:00:52.148600,93.84,6912,16700,6270
2024-08-17T21:00:52.116622,95.39,6751,16700,6270
2024-08-17T22:00:52.116640,95.49,6740,16700,6270
2024-08-17T23:00:52.116622,95.33,6757,16700,6270
2024-08-18T00:00:12.442477,96.04,6683,16700,6270
2024-08-18T01:00:29.748621,96.21,6665,16700,6270
2024-08-18T02:00:04.052613,96.53,6632,16700,6270
2024-08-18T03:00:29.300610,96.66,6618,16700,6270
2024-08-18T04:00:29.652674,96.53,6632,16700,6270
2024-08-18T05:00:04.052612,97.21,6561,16700,6270
2024-08-18T06:00:29.844617,97.51,6530,16700,6270
2024-08-18T07:00:03.220669,98.12,6466,16700,6270
2024-08-18T08:00:29.332636,97.79,6501,16700,6270
2024-08-18T09:00:29.571333,96.97,6586,16700,6270
2024-08-18T10:00:03.732717,96.21,6665,16700,6270
2024-08-18T11:00:28.852655,94.63,6830,16700,6270
2024-08-18T12:00:29.780584,93.89,6907,16700,6270
2024-08-18T13:00:05.620722,93.17,6982,16700,6270
2024-08-18T14:00:04.724729,95.4,6750,16700,6270
2024-08-18T15:00:52.089758,94.9,6802,16700,6270
2024-08-18T16:00:52.085030,95.66,6723,16700,6270
2024-08-18T17:00:52.085047,95.72,6716,16700,6270
2024-08-18T18:00:52.084980,96.49,6636,16700,6270
2024-08-18T19:00:52.085087,96.88,6595,16700,6270
2024-08-18T20:00:52.116681,97.29,6553,16700,6270
2024-08-18T21:00:52.117083,97.14,6568,16700,6270
2024-08-18T22:00:52.116643,97.93,6486,16700,6270
2024-08-18T22:52:08.340776,97.73,6507,16700,6270
2024-08-18T23:00:52.152790,97.68,6512,16700,6270
2024-08-19T00:00:52.084855,97.85,6494,16700,6270
2024-08-19T01:00:52.116824,97.32,6550,16700,6270
2024-08-19T02:00:52.120888,98.26,6451,16700,6270
2024-08-19T03:00:52.116630,98.48,6429,16700,6270
2024-08-19T04:00:52.116790,99.03,6371,16700,6270
2024-08-19T05:00:52.120570,99.31,6342,16700,6270
2024-08-19T06:00:52.116709,99.33,6340,16700,6270
2024-08-19T07:00:52.120622,99.9,6280,16700,6270
2024-08-19T08:00:52.116771,99.75,6296,16700,6270
2024-08-19T09:00:52.116921,98.95,6380,16700,6270
2024-08-19T10:00:52.116463,98.05,6473,16700,6270
2024-08-19T11:00:52.116599,96.91,6592,16700,6270
2024-08-19T12:00:52.116651,95.65,6724,16700,6270
2024-08-19T13:00:52.116515,94.03,6893,16700,6270
2024-08-19T14:00:52.116748,92.93,7007,16700,6270
2024-08-19T15:00:52.120610,92.0,7104,16700,6270
2024-08-19T16:00:52.118640,92.05,7099,16700,6270
2024-08-19T17:00:07.028696,92.02,7102,16700,6270
2024-08-19T18:00:52.120749,92.76,7025,16700,6270
2024-08-19T19:00:52.116978,93.58,6940,16700,6270
2024-08-19T20:00:52.117006,93.87,6909,16700,6270
2024-08-19T21:00:52.124488,94.47,6847,16700,6270
2024-08-19T22:00:52.116947,94.88,6804,16700,6270
2024-08-19T23:00:52.116345,94.9,6802,16700,6270
2024-08-20T00:00:07.544609,95.18,6773,16700,6270
2024-08-20T01:00:52.116982,95.38,6752,16700,6270
2024-08-20T02:00:52.116565,95.79,6709,16700,6270
2024-08-20T03:00:52.180585,95.97,6690,16700,6270
2024-08-20T04:00:52.116573,96.43,6642,16700,6270
2024-08-20T05:00:52.116648,97.09,6573,16700,6270
2024-08-20T06:00:52.116600,97.76,6504,16700,6270
2024-08-20T07:00:52.116620,97.99,6480,16700,6270
2024-08-20T08:00:52.116607,98.02,6477,16700,6270
2024-08-20T09:00:52.116590,97.33,6548,16700,6270
2024-08-20T10:00:52.116610,96.07,6680,16700,6270
2024-08-20T11:00:52.116622,95.8,6708,16700,6270
2024-08-20T12:00:52.116619,94.88,6804,16700,6270
2024-08-20T13:00:52.120789,94.0,6896,16700,6270
2024-08-20T14:00:52.116587,93.36,6963,16700,6270
2024-08-20T15:00:52.116624,94.28,6867,16700,6270
2024-08-20T16:00:52.116685,95.47,6742,16700,6270
2024-08-20T17:00:52.116652,95.8,6708,16700,6270
2024-08-20T18:00:52.116624,96.11,6676,16700,6270
2024-08-20T19:00:52.116572,96.65,6619,16700,6270
2024-08-20T20:00:52.116626,96.63,6621,16700,6270
2024-08-20T21:00:52.116571,96.6,6625,16700,6270
2024-08-20T22:00:52.116617,96.43,6642,16700,6270
2024-08-20T23:00:52.116609,97.59,6521,16700,6270
2024-08-21T00:00:11.316592,97.58,6522,16700,6270
2024-08-21T01:00:52.116617,97.79,6500,16700,6270
2024-08-21T02:00:52.116585,97.91,6488,16700,6270
2024-08-21T03:00:52.116600,97.78,6502,16700,6270
2024-08-21T04:00:52.116623,98.38,6439,16700,6270
2024-08-21T05:00:52.116665,98.77,6398,16700,6270
2024-08-21T06:00:52.116574,98.69,6407,16700,6270
2024-08-21T07:00:52.116618,98.58,6418,16700,6270
2024-08-21T08:00:06.740349,98.29,6448,16700,6270
2024-08-21T09:00:52.116580,97.58,6522,16700,6270
2024-08-21T10:00:52.116720,97.48,6533,16700,6270
2024-08-21T11:00:52.116572,96.94,6589,16700,6270
2024-08-21T12:00:52.116609,96.38,6648,16700,6270
2024-08-21T13:00:52.116632,95.66,6723,16700,6270
2024-08-21T14:00:52.116612,95.41,6749,16700,6270
2024-08-21T15:00:52.120700,95.15,6776,16700,6270
2024-08-21T16:00:52.116719,95.18,6773,16700,6270
2024-08-21T17:00:52.116601,95.3,6760,16700,6270
2024-08-21T18:00:52.116600,95.87,6701,16700,6270
2024-08-21T19:00:52.116665,95.23,6768,16700,6270
2024-08-21T20:00:52.116626,94.27,6868,16700,6270
2024-08-21T21:00:52.120708,94.67,6826,16700,6270
2024-08-21T22:00:52.116628,96.16,6670,16700,6270
2024-08-21T23:00:52.116639,96.73,6611,16700,6270
2024-08-22T00:00:11.572625,97.15,6567,16700,6270
2024-08-22T01:00:52.116679,97.64,6516,16700,6270
2024-08-22T02:00:52.116651,98.28,6449,16700,6270
2024-08-22T03:00:52.116693,98.74,6401,16700,6270
2024-08-22T04:00:52.116564,98.8,6395,16700,6270
2024-08-22T05:00:52.116608,98.83,6392,16700,6270
2024-08-22T06:00:52.116618,98.48,6429,16700,6270
2024-08-22T07:00:52.116665,98.9,6385,16700,6270
2024-08-22T08:00:52.116619,99.32,6341,16700,6270
2024-08-22T09:00:52.116665,98.58,6418,16700,6270
2024-08-22T10:00:52.116677,97.13,6569,16700,6270
2024-08-22T11:00:52.116583,95.41,6749,16700,6270
2024-08-22T12:00:52.116645,95.4,6750,16700,6270
2024-08-22T13:00:52.116620,93.7,6927,16700,6270
2024-08-22T14:00:52.116378,93.58,6940,16700,6270
2024-08-22T15:00:52.116655,92.55,7047,16700,6270
2024-08-22T16:00:52.116628,92.34,7069,16700,6270
2024-08-22T17:00:52.116731,92.43,7060,16700,6270
2024-08-22T18:00:52.116760,92.55,7047,16700,6270
2024-08-22T19:00:52.116756,92.75,7026,16700,6270
2024-08-22T20:00:52.116622,92.96,7004,16700,6270
2024-08-22T21:00:52.116709,93.24,6975,16700,6270
2024-08-22T22:00:52.116682,93.57,6941,16700,6270
2024-08-22T23:00:52.116658,93.81,6916,16700,6270
2024-08-23T00:00:10.772621,94.06,6890,16700,6270
2024-08-23T01:00:52.116649,94.25,6870,16700,6270
2024-08-23T02:00:52.116400,94.37,6857,16700,6270
2024-08-23T03:00:52.116661,94.68,6825,16700,6270
2024-08-23T04:00:52.116667,94.88,6804,16700,6270
2024-08-23T05:00:52.120595,95.23,6767,16700,6270
2024-08-23T06:00:52.116608,95.49,6740,16700,6270
2024-08-23T07:00:52.120660,95.68,6721,16700,6270
2024-08-23T08:00:52.116517,95.54,6735,16700,6270
2024-08-23T09:00:52.116638,95.75,6713,16700,6270
2024-08-23T10:00:52.116625,94.61,6832,16700,6270
2024-08-23T11:00:52.116617,94.79,6813,16700,6270
2024-08-23T12:00:52.116598,95.17,6774,16700,6270
2024-08-23T13:00:52.116652,95.14,6777,16700,6270
2024-08-23T14:00:52.116638,93.98,6898,16700,6270
2024-08-23T15:00:52.116675,93.1,6990,16700,6270
2024-08-23T16:00:52.116636,93.39,6959,16700,6270
2024-08-23T17:00:52.116616,93.18,6981,16700,6270
2024-08-23T18:00:52.116711,93.14,6985,16700,6270
2024-08-23T19:00:52.116743,93.87,6909,16700,6270
2024-08-23T20:00:52.116617,94.45,6849,16700,6270
2024-08-23T21:00:52.116708,95.19,6772,16700,6270
2024-08-23T22:00:52.116684,95.73,6715,16700,6270
