time,mean_gray
2024-06-12T20:10:14.998829,27
2024-06-12T20:20:14.998818,27
2024-06-12T20:30:14.998939,27
2024-06-12T20:40:14.998945,27
2024-06-12T20:50:15.031146,27
2024-06-12T21:00:15.031274,27
2024-06-12T21:10:14.998898,27
2024-06-12T21:20:14.999012,27
2024-06-12T21:30:14.999006,27
2024-06-12T21:40:14.999134,27
2024-06-12T21:50:14.999625,27
2024-06-12T22:00:15.030877,27
2024-06-12T22:10:14.998946,27
2024-06-12T22:20:14.998849,27
2024-06-12T22:30:14.998911,27
2024-06-12T22:40:15.031065,27
2024-06-12T22:50:14.803249,27
2024-06-12T23:00:14.998872,27
2024-06-12T23:10:14.998887,27
2024-06-12T23:20:14.998952,27
2024-06-12T23:30:14.998884,27
2024-06-12T23:40:14.999093,27
2024-06-12T23:50:14.999150,27
2024-06-13T00:00:15.093708,27
2024-06-13T00:10:15.029926,27
2024-06-13T00:20:15.029986,27
2024-06-13T00:30:14.998161,27
2024-06-13T00:40:15.030041,27
2024-06-13T00:50:14.998226,27
2024-06-13T01:00:15.029878,27
2024-06-13T01:10:15.030032,27
2024-06-13T01:20:14.997886,27
2024-06-13T01:30:14.998061,27
2024-06-13T01:40:14.998171,27
2024-06-13T01:50:14.998354,27
2024-06-13T02:00:15.029912,27
2024-06-13T02:10:15.029940,27
2024-06-13T02:20:14.997955,27
2024-06-13T02:30:14.997919,27
2024-06-13T02:40:15.029998,27
2024-06-13T02:50:14.998214,27
2024-06-13T03:00:14.997940,27
2024-06-13T03:10:14.997957,27
2024-06-13T03:20:14.998154,27
2024-06-13T03:30:15.030134,27
2024-06-13T03:40:14.998915,27
2024-06-13T03:50:14.998226,27
2024-06-13T04:00:14.998066,27
2024-06-13T04:10:15.029983,27
2024-06-13T04:20:15.030097,27
2024-06-13T04:30:15.034516,27
2024-06-13T04:40:15.030082,27
2024-06-13T04:50:14.998681,27
2024-06-13T05:00:15.030066,27
2024-06-13T05:10:15.030085,27
2024-06-13T05:20:15.030346,27
2024-06-13T05:30:15.030155,27
2024-06-13T05:40:14.998504,27
2024-06-13T05:50:15.030430,27
2024-06-13T06:00:14.998261,27
2024-06-13T06:10:15.030160,27
2024-06-13T06:20:15.076106,27
2024-06-13T06:30:14.998271,27
2024-06-13T06:40:15.076436,27
2024-06-13T06:50:14.998554,27
2024-06-13T07:00:15.030203,27
2024-06-13T07:10:15.030372,27
2024-06-13T07:20:14.998201,27
2024-06-13T07:30:15.030340,27
2024-06-13T07:40:15.062572,27
2024-06-13T07:50:14.998439,27
2024-06-13T08:00:15.062213,27
2024-06-13T08:10:14.998290,27
2024-06-13T08:20:15.030398,27
2024-06-13T08:30:14.998407,27
2024-06-13T08:40:15.030542,27
2024-06-13T08:50:14.998451,27
2024-06-13T09:00:14.998238,27
2024-06-13T09:10:14.998764,27
2024-06-13T09:20:15.030494,27
2024-06-13T09:30:14.998462,27
2024-06-13T09:40:15.044453,27
2024-06-13T09:50:15.030695,27
2024-06-13T10:00:15.030627,27
2024-06-13T10:10:15.030269,27
2024-06-13T10:20:14.834502,27
2024-06-13T10:30:14.998496,27
2024-06-13T10:40:14.802602,27
2024-06-13T10:50:14.998606,27
2024-06-13T11:00:14.998266,27
2024-06-13T11:10:15.030420,27
2024-06-13T11:20:14.998468,27
2024-06-13T11:30:14.998475,27
2024-06-13T11:40:14.997924,27
2024-06-13T11:50:14.998636,27
2024-06-13T12:00:14.998276,27
2024-06-13T12:10:14.998349,27
2024-06-13T12:20:15.036079,27
2024-06-13T12:30:14.998514,27
2024-06-13T12:40:15.030668,27
2024-06-13T12:50:14.998641,27
2024-06-13T13:00:15.076326,27
2024-06-13T13:10:15.030485,27
2024-06-13T13:20:15.030536,27
2024-06-13T13:30:15.030601,27
2024-06-13T13:40:14.998757,27
2024-06-13T13:50:14.998846,27
2024-06-13T14:00:15.030425,27
2024-06-13T14:10:14.998644,27
2024-06-13T14:20:15.015547,27
2024-06-13T14:30:14.867198,27
2024-06-13T14:40:15.030701,26
2024-06-13T14:50:14.998863,26
2024-06-13T15:00:15.062563,26
2024-06-13T15:10:14.998566,27
2024-06-13T15:20:15.030601,26
2024-06-13T15:30:14.834674,27
2024-06-13T15:40:15.108711,26
2024-06-13T15:50:15.062836,27
2024-06-13T16:00:15.030598,26
2024-06-13T16:10:14.866711,27
2024-06-13T16:20:15.030922,27
2024-06-13T16:30:15.030781,27
2024-06-13T16:40:14.866823,27
2024-06-13T16:50:15.063265,27
2024-06-13T17:00:15.029989,26
2024-06-13T17:10:15.030445,26
2024-06-13T17:20:15.063300,27
2024-06-13T17:30:14.835295,27
2024-06-13T17:40:15.030929,27
2024-06-13T17:50:15.030736,26
2024-06-13T18:00:15.094699,26
2024-06-13T18:10:15.030883,26
2024-06-13T18:20:14.866888,27
2024-06-13T18:30:15.030918,26
2024-06-13T18:40:15.006303,26
2024-06-13T18:50:15.062962,26
2024-06-13T19:00:15.062379,26
2024-06-13T19:10:15.030288,26
2024-06-13T19:20:14.837198,26
2024-06-13T19:30:14.840516,26
2024-06-13T19:40:15.063208,26
2024-06-13T19:50:15.035836,26
2024-06-13T20:00:14.834914,26
2024-06-13T20:10:15.030624,26
2024-06-13T20:20:15.032561,26
2024-06-13T20:30:15.038984,26
2024-06-13T20:40:14.837600,26
2024-06-13T20:50:15.036333,26
2024-06-13T21:00:15.034526,26
2024-06-13T21:10:15.033393,26
2024-06-13T21:20:15.033759,26
2024-06-13T21:30:15.033404,26
2024-06-13T21:40:15.037089,26
2024-06-13T21:50:14.836730,26
2024-06-13T22:00:15.033790,26
2024-06-13T22:10:15.039244,26
2024-06-13T22:20:15.031795,26
2024-06-13T22:30:14.838709,26
2024-06-13T22:40:15.039211,26
2024-06-13T22:50:14.834367,26
